"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Ref**";"BottomLogo";1;"Val**";;;
2;"L6";"SRU1048-151Y";1;"150uH";;;
3;"U12";"EQFP144-PAD";1;"10CL010";;;
4;"L5";"NRS6045T100MMGK";1;"10uH";;;
5;"C15,C16,C4";"CP_Radial_D6.3mm_P2.50mm";3;"330uF";;;
6;"NT2,NT4,NT3,NT1";"NetTie-2";4;"Net-Tie_2";;;
7;"SW1,SW2,SW3";"PTS645SK43SM";3;"SW_Push";;;
8;"H4,H3,H2,H1";"MountingHole_4mm_Pad_Via";4;"MountingHole_Pad";;;
9;"J1";"JST_S2B-PH-SM4-TB";1;"S2B-PH-SM4-TB";;;
10;"U1";"WSON10-PAD";1;"TPS63031";;;
11;"J8,J4";"Pin_Header_Straight_1x08_Pitch2.54mm";2;"PH1-08-UA";;;
12;"J5";"Pin_Header_Straight_1x15_Pitch2.54mm";1;"DNP";;;
13;"U7";"SOIC8";1;"W25Q80DV";;;
14;"J12";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"DNP";;;
15;"U13";"ECS-5032MV";1;"ECS-5032MV";;;
16;"C49,C102,C100,C93,C92,C91,C85,C83,C79,C78,C68,C67,C66,C48,C47,C46,C45,C44,C37,C27,C26,C25,C24,C20,C5";"C_0603_HandSoldering";25;"100nF";;;
17;"J10";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"DNP";;;
18;"U21";"SSOP14";1;"TLV3544";;;
19;"U22";"SOT23-5";1;"MCP6L1";;;
20;"U20";"SOT23";1;"MAX11116";;;
21;"U19,U18";"TDFN8-PAD";2;"MAX5394L";;;
22;"U17";"SSOP8";1;"ADA4522-1";;;
23;"U16";"TSOT8";1;"AD5450";;;
24;"U15";"SOIC8-PAD";1;"LTC6090-5";;;
25;"U14";"SOT23-5";1;"TSX9291";;;
26;"U11";"SSOP8";1;"LM3478";;;
27;"U10";"SOT23-5";1;"AP2204K-ADJ";;;
28;"U9";"WSON6-3x3-PAD";1;"LMR62421";;;
29;"U8";"LGA12";1;"LIS2DE12";;;
30;"U6";"QFN4-PAD";1;"ENS210";;;
31;"U5";"SOT353";1;"MIC841N";;;
32;"U4";"BMD-360";1;"BMD-360";;;
33;"U3";"WSON6-2x2-PAD";1;"TPS62262";;;
34;"U2";"SOT23-5";1;"TCR2EF25";;;
