"Source:","C:\Users\Cameron\Documents\GitHub\ece4600capstone\PCB\Capstone.sch"
"Date:","2020-01-06 22:39:24"
"Tool:","Eeschema (5.1.4)-1"
"Component Count:","237"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C2","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C3","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C4","330uF","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm","https://www.digikey.ca/product-detail/en/w-rth-elektronik/860020273010/732-8912-1-ND/5728855","",""
"C5","100nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/w-rth-elektronik/885012206020/732-7939-1-ND/5454566","",""
"C6","1uF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL10A105MP8NNNC/1276-1866-1-ND/3889952","",""
"C7","1uF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL10A105MP8NNNC/1276-1866-1-ND/3889952","",""
"C8","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C9","1uF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL10A105MP8NNNC/1276-1866-1-ND/3889952","",""
"C10","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C11","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C12","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C13","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C14","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C15","330uF","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm","https://www.digikey.ca/product-detail/en/w-rth-elektronik/860020273010/732-8912-1-ND/5728855","",""
"C16","330uF","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm","https://www.digikey.ca/product-detail/en/w-rth-elektronik/860020273010/732-8912-1-ND/5728855","",""
"C17","1uF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL10A105MP8NNNC/1276-1866-1-ND/3889952","",""
"C18","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C19","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C20","100nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/w-rth-elektronik/885012206020/732-7939-1-ND/5454566","",""
"C21","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C22","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C23","10nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/w-rth-elektronik/885012206089/732-8007-1-ND/5454634","",""
"C24","100nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/w-rth-elektronik/885012206020/732-7939-1-ND/5454566","",""
"C25","100nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/w-rth-elektronik/885012206020/732-7939-1-ND/5454566","",""
"C26","100nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/w-rth-elektronik/885012206020/732-7939-1-ND/5454566","",""
"C27","100nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/w-rth-elektronik/885012206020/732-7939-1-ND/5454566","",""
"C28","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C29","10uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C0805C106K8PACTU/399-4925-1-ND/1090920","",""
"C30","10uF","Capacitors_SMD:C_1206_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C1206C106M3PACTU/399-8153-1-ND/3471876","",""
"C31","10uF","Capacitors_SMD:C_1206_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C1206C106M3PACTU/399-8153-1-ND/3471876","",""
"C32","2.2nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/w-rth-elektronik/885012206085/732-8003-1-ND/5454630","",""
"C33","1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152","",""
"C34","1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152","",""
"C35","10uF","Capacitors_SMD:C_1206_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C1206C106M3PACTU/399-8153-1-ND/3471876","",""
"C36","10uF","Capacitors_SMD:C_1206_HandSoldering","https://www.digikey.ca/product-detail/en/kemet/C1206C106M3PACTU/399-8153-1-ND/3471876","",""
"C37","100nF","Capacitors_SMD:C_0603_HandSoldering","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL10B104KB8NNNC/1276-1000-1-ND/3889086","",""
"C38","220uF","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm","https://www.digikey.ca/product-detail/en/united-chemi-con/EKYA630ELL221MJ20S/565-4997-ND/4847167","",""
"C39","220uF","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm","https://www.digikey.ca/product-detail/en/united-chemi-con/EKYA630ELL221MJ20S/565-4997-ND/4847167","",""
